# locale(s)	input	(output)
# entities to leave unedited
en-AU	labour party	labor party
en-US	mobilising	mobilizing
en-US	modelled	modeled
en-US	modeller	modeler
en-US	modellers	modelers
en-US	modelling	modeling
en-US	modernise	modernize
en-US	modernised	modernized
en-US	modernises	modernizes
en-US	modernising	modernizing
en-US	moisturise	moisturize
en-US	moisturised	moisturized
en-US	moisturiser	moisturizer
en-US	moisturisers	moisturizers
en-US	moisturises	moisturizes
en-US	moisturising	moisturizing
en-US	mould	mold
en-US	moulded	molded
en-US	moulder	molder
en-US	mouldered	moldered
en-US	mouldering	moldering
en-US	moulders	molders
en-US	mouldier	moldier
en-US	mouldiest	moldiest
en-US	moulding	molding
en-US	mouldings	moldings
en-US	moulds	molds
en-US	mouldy	moldy
en-US	moult	molt
en-US	moulted	molted
en-US	moulting	molting
en-US	moults	molts
en-US	monologue	monolog
en-US	monologues	monologs
en-US	monopolisation	monopolization
en-US	monopolise	monopolize
en-US	monopolised	monopolized
en-US	monopolises	monopolizes
en-US	monopolising	monopolizing
en-US	moralise	moralize
en-US	moralised	moralized
en-US	moralises	moralizes
en-US	moralising	moralizing
en-US	motorised	motorized
en-US	multi storey	multi story
en-US	multicoloured	multicolored
en-US	moustache	mustache
en-US	moustached	mustached
en-US	moustaches	mustaches
en-US	moustachioed	mustachioed
en-US	nationalisation	nationalization
en-US	nationalisations	nationalizations
en-US	nationalise	nationalize
en-US	nationalised	nationalized
en-US	nationalises	nationalizes
en-US	nationalising	nationalizing
en-US	naturalisation	naturalization
en-US	naturalise	naturalize
en-US	naturalised	naturalized
en-US	naturalises	naturalizes
en-US	naturalising	naturalizing
en-US	neighbour	neighbor
en-US	neighbourhood	neighborhood
en-US	neighbourhoods	neighborhoods
en-US	neighbouring	neighboring
en-US	neighbourliness	neighborliness
en-US	neighbourly	neighborly
en-US	neighbours	neighbors
en-US	neutralisation	neutralization
en-US	neutralise	neutralize
en-US	neutralised	neutralized
en-US	neutralises	neutralizes
en-US	neutralising	neutralizing
en-US	nine storey	nine story
en-US	normalisation	normalization
en-US	normalise	normalize
en-US	normalised	normalized
en-US	normalises	normalizes
en-US	normalising	normalizing
en-US	odour	odor
en-US	odourless	odorless
en-US	odours	odors
en-US	offence	offense
en-US	offences	offenses
en-US	omelette	omelet
en-US	omelettes	omelets
en-US	optimise	optimize
en-US	optimised	optimized
en-US	optimises	optimizes
en-US	optimising	optimizing
en-US	organisation	organization
en-US	organisational	organizational
en-US	organisations	organizations
en-US	organise	organize
en-US	organised	organized
en-US	organiser	organizer
en-US	organisers	organizers
en-US	organises	organizes
en-US	organising	organizing
en-US	orthopaedic	orthopedic
en-US	orthopaedics	orthopedics
en-US	ostracise	ostracize
en-US	ostracised	ostracized
en-US	ostracises	ostracizes
en-US	ostracising	ostracizing
en-US	outmanoeuvre	outmaneuver
en-US	outmanoeuvred	outmaneuvered
en-US	outmanoeuvring	outmaneuvering
en-US	outmanoeuvres	outmaneuvers
en-US	overemphasise	overemphasize
en-US	overemphasised	overemphasized
en-US	overemphasises	overemphasizes
en-US	overemphasising	overemphasizing
en-US	oxidisation	oxidization
en-US	oxidise	oxidize
en-US	oxidised	oxidized
en-US	oxidises	oxidizes
en-US	oxidising	oxidizing
en-US	pyjama	pajama
en-US	pyjamas	pajamas
en-US	palaeolithic	paleolithic
en-US	palaeontologist	paleontologist
en-US	palaeontologists	paleontologists
en-US	palaeontology	paleontology
en-US	panelled	paneled
en-US	panelling	paneling
en-US	panellist	panelist
en-US	panellists	panelists
en-US	paralyse	paralyze
en-US	paralysed	paralyzed
en-US	paralyses	paralyzes
en-US	paralysing	paralyzing
en-US	parcelled	parceled
en-US	parcelling	parceling
en-US	parlour	parlor
en-US	parlours	parlors
en-US	particularise	particularize
en-US	particularised	particularized
en-US	particularises	particularizes
en-US	particularising	particularizing
en-US	passivisation	passivization
en-US	passivise	passivize
en-US	passivised	passivized
en-US	passivises	passivizes
en-US	passivising	passivizing
en-US	pasteurisation	pasteurization
en-US	pasteurise	pasteurize
en-US	pasteurised	pasteurized
en-US	pasteurises	pasteurizes
en-US	pasteurising	pasteurizing
en-US	patronise	patronize
en-US	patronised	patronized
en-US	patronises	patronizes
en-US	patronising	patronizing
en-US	patronisingly	patronizingly
en-US	pedalled	pedaled
en-US	pedalling	pedaling
en-US	paederast	pederast
en-US	paederasts	pederasts
en-US	pedestrianisation	pedestrianization
en-US	pedestrianise	pedestrianize
en-US	pedestrianised	pedestrianized
en-US	pedestrianises	pedestrianizes
en-US	pedestrianising	pedestrianizing
en-US	paediatric	pediatric
en-US	paediatrician	pediatrician
en-US	paediatricians	pediatricians
en-US	paediatrics	pediatrics
en-US	paedophile	pedophile
en-US	paedophiles	pedophiles
en-US	paedophilia	pedophilia
en-US	penalise	penalize
en-US	penalised	penalized
en-US	penalises	penalizes
en-US	penalising	penalizing
en-US	pencilled	penciled
en-US	pencilling	penciling
en-US	personalise	personalize
en-US	personalised	personalized
en-US	personalises	personalizes
en-US	personalising	personalizing
en-US	pharmacopoeia	pharmacopeia
en-US	pharmacopoeias	pharmacopeias
en-US	philosophise	philosophize
en-US	philosophised	philosophized
en-US	philosophises	philosophizes
en-US	philosophising	philosophizing
en-US	phoney	phony
en-US	pzazz	pizzazz
en-US	plagiarise	plagiarize
en-US	plagiarised	plagiarized
en-US	plagiarises	plagiarizes
en-US	plagiarising	plagiarizing
en-US	plough	plow
en-US	ploughed	plowed
en-US	ploughing	plowing
en-US	ploughman	plowman
en-US	ploughmen	plowmen
en-US	ploughs	plows
en-US	ploughshare	plowshare
en-US	ploughshares	plowshares
en-US	polarisation	polarization
en-US	polarise	polarize
en-US	polarised	polarized
en-US	polarises	polarizes
en-US	polarising	polarizing
en-US	politicisation	politicization
en-US	politicise	politicize
en-US	politicised	politicized
en-US	politicises	politicizes
en-US	politicising	politicizing
en-US	popularisation	popularization
en-US	popularise	popularize
en-US	popularised	popularized
en-US	popularises	popularizes
en-US	popularising	popularizing
en-US	pouffe	pouf
en-US	pouffes	poufs
en-US	practise	practice
en-US	practised	practiced
en-US	practises	practices
en-US	practising	practicing
en-US	praesidium	presidium
en-US	praesidiums	presidiums
en-US	pressurisation	pressurization
en-US	pressurise	pressurize
en-US	pressurised	pressurized
en-US	pressurises	pressurizes
en-US	pressurising	pressurizing
en-US	pretence	pretense
en-US	pretences	pretenses
en-US	primaeval	primeval
en-US	prioritisation	prioritization
en-US	prioritise	prioritize
en-US	prioritised	prioritized
en-US	prioritises	prioritizes
en-US	prioritising	prioritizing
en-US	privatisation	privatization
en-US	privatisations	privatizations
en-US	privatise	privatize
en-US	privatised	privatized
en-US	privatises	privatizes
en-US	privatising	privatizing
en-US	professionalisation	professionalization
en-US	professionalise	professionalize
en-US	professionalised	professionalized
en-US	professionalises	professionalizes
en-US	professionalising	professionalizing
en-US	programme	program
en-US	programmes	programs
en-US	prologue	prolog
en-US	prologues	prologs
en-US	propagandise	propagandize
en-US	propagandised	propagandized
en-US	propagandises	propagandizes
en-US	propagandising	propagandizing
en-US	proselytise	proselytize
en-US	proselytised	proselytized
en-US	proselytiser	proselytizer
en-US	proselytisers	proselytizers
en-US	proselytises	proselytizes
en-US	proselytising	proselytizing
en-US	psychoanalyse	psychoanalyze
en-US	psychoanalysed	psychoanalyzed
en-US	psychoanalyses	psychoanalyzes
en-US	psychoanalysing	psychoanalyzing
en-US	publicise	publicize
en-US	publicised	publicized
en-US	publicises	publicizes
en-US	publicising	publicizing
en-US	pulverisation	pulverization
en-US	pulverise	pulverize
en-US	pulverised	pulverized
en-US	pulverises	pulverizes
en-US	pulverising	pulverizing
en-US	pummelled	pummel
en-US	pummelling	pummeled
en-US	quarrelled	quarreled
en-US	quarrelling	quarreling
en-US	radicalise	radicalize
en-US	radicalised	radicalized
en-US	radicalises	radicalizes
en-US	radicalising	radicalizing
en-US	rancour	rancor
en-US	randomise	randomize
en-US	randomised	randomized
en-US	randomises	randomizes
en-US	randomising	randomizing
en-US	rationalisation	rationalization
en-US	rationalisations	rationalizations
en-US	rationalise	rationalize
en-US	rationalised	rationalized
en-US	rationalises	rationalizes
en-US	rationalising	rationalizing
en-US	ravelled	raveled
en-US	ravelling	raveling
en-US	realisable	realizable
en-US	realisation	realization
en-US	realisations	realizations
en-US	realise	realize
en-US	realised	realized
en-US	realises	realizes
en-US	realising	realizing
en-US	recognisable	recognizable
en-US	recognisably	recognizably
en-US	recognisance	recognizance
en-US	recognise	recognize
en-US	recognised	recognized
en-US	recognises	recognizes
en-US	recognising	recognizing
en-US	reconnoitre	reconnoiter
en-US	reconnoitred	reconnoitered
en-US	reconnoitring	reconnoitering
en-US	reconnoitres	reconnoiters
en-US	refuelled	refueled
en-US	refuelling	refueling
en-US	regularisation	regularization
en-US	regularise	regularize
en-US	regularised	regularized
en-US	regularises	regularizes
en-US	regularising	regularizing
en-US	remodelled	remodeled
en-US	remodelling	remodeling
en-US	remould	remold
en-US	remoulded	remolded
en-US	remoulding	remolding
en-US	remoulds	remolds
en-US	reorganisation	reorganization
en-US	reorganisations	reorganizations
en-US	reorganise	reorganize
en-US	reorganised	reorganized
en-US	reorganises	reorganizes
en-US	reorganising	reorganizing
en-US	revelled	reveled
en-US	reveller	reveler
en-US	revellers	revelers
en-US	revelling	reveling
en-US	revitalise	revitalize
en-US	revitalised	revitalized
en-US	revitalises	revitalizes
en-US	revitalising	revitalizing
en-US	revolutionise	revolutionize
en-US	revolutionised	revolutionized
en-US	revolutionises	revolutionizes
en-US	revolutionising	revolutionizing
en-US	rhapsodise	rhapsodize
en-US	rhapsodised	rhapsodized
en-US	rhapsodises	rhapsodizes
en-US	rhapsodising	rhapsodizing
en-US	rigour	rigor
en-US	rigours	rigors
en-US	ritualised	ritualized
en-US	rivalled	rivaled
en-US	rivalling	rivaling
en-US	romanticise	romanticize
en-US	romanticised	romanticized
en-US	romanticises	romanticizes
en-US	romanticising	romanticizing
en-US	rumour	rumor
en-US	rumoured	rumored
en-US	rumours	rumors
en-US	sabre	saber
en-US	sabres	sabers
en-US	saltpetre	saltpeter
en-US	sanitise	sanitize
en-US	sanitised	sanitized
en-US	sanitises	sanitizes
en-US	sanitising	sanitizing
en-US	satirise	satirize
en-US	satirised	satirized
en-US	satirises	satirizes
en-US	satirising	satirizing
en-US	saviour	savior
en-US	saviours	saviors
en-US	savour	savor
en-US	savoured	savored
en-US	savouries	savories
en-US	savouring	savoring
en-US	savours	savors
en-US	savoury	savory
en-US	scandalise	scandalize
en-US	scandalised	scandalized
en-US	scandalises	scandalizes
en-US	scandalising	scandalizing
en-US	sceptre	scepter
en-US	sceptres	scepters
en-US	scrutinise	scrutinize
en-US	scrutinised	scrutinized
en-US	scrutinises	scrutinizes
en-US	scrutinising	scrutinizing
en-US	secularisation	secularization
en-US	secularise	secularize
en-US	secularised	secularized
en-US	secularises	secularizes
en-US	secularising	secularizing
en-US	sensationalise	sensationalize
en-US	sensationalised	sensationalized
en-US	sensationalises	sensationalizes
en-US	sensationalising	sensationalizing
en-US	sensitise	sensitize
en-US	sensitised	sensitized
en-US	sensitises	sensitizes
en-US	sensitising	sensitizing
en-US	sentimentalise	sentimentalize
en-US	sentimentalised	sentimentalized
en-US	sentimentalises	sentimentalizes
en-US	sentimentalising	sentimentalizing
en-US	sepulchre	sepulcher
en-US	sepulchres	sepulchers
en-US	serialisation	serialization
en-US	serialisations	serializations
en-US	serialise	serialize
en-US	serialised	serialized
en-US	serialises	serializes
en-US	serialising	serializing
en-US	sermonise	sermonize
en-US	sermonised	sermonized
en-US	sermonises	sermonizes
en-US	sermonising	sermonizing
en-US	seven storey	seven story
en-US	sheikh	sheik
en-US	shovelled	shoveled
en-US	shovelling	shoveling
en-US	shrivelled	shriveled
en-US	shrivelling	shriveling
en-US	signalled	signaled
en-US	signalling	signaling
en-US	signalise	signalize
en-US	signalised	signalized
en-US	signalises	signalizes
en-US	signalising	signalizing
en-US	syphon	siphon
en-US	syphoned	siphoned
en-US	syphoning	siphoning
en-US	syphons	siphons
en-US	six storey	six story
en-US	sceptic	skeptic
en-US	sceptical	skeptical
en-US	sceptically	skeptically
en-US	scepticism	skepticism
en-US	sceptics	skeptics
en-US	smoulder	smolder
en-US	smouldered	smoldered
en-US	smouldering	smoldering
en-US	smoulders	smolders
en-US	snivelled	sniveled
en-US	snivelling	sniveling
en-US	snorkelled	snorkeled
en-US	snorkelling	snorkeling
en-US	snowplough	snowplow
en-US	snowploughs	snowplows
en-US	socialisation	socialization
en-US	socialise	socialize
en-US	socialised	socialized
en-US	socialises	socializes
en-US	socialising	socializing
en-US	sodomise	sodomize
en-US	sodomised	sodomized
en-US	sodomises	sodomizes
en-US	sodomising	sodomizing
en-US	solemnise	solemnize
en-US	solemnised	solemnized
en-US	solemnises	solemnizes
en-US	solemnising	solemnizing
en-US	sombre	somber
en-US	specialisation	specialization
en-US	specialisations	specializations
en-US	specialise	specialize
en-US	specialised	specialized
en-US	specialises	specializes
en-US	specialising	specializing
en-US	spectre	specter
en-US	spectres	specters
en-US	spiralled	spiraled
en-US	spiralling	spiraling
en-US	splendour	splendor
en-US	splendours	splendors
en-US	squirrelled	squirreled
en-US	squirrelling	squirreling
en-US	stabilisation	stabilization
en-US	stabilise	stabilize
en-US	stabilised	stabilized
en-US	stabiliser	stabilizer
en-US	stabilisers	stabilizers
en-US	stabilises	stabilizes
en-US	stabilising	stabilizing
en-US	standardisation	standardization
en-US	standardise	standardize
en-US	standardised	standardized
en-US	standardises	standardizes
en-US	standardising	standardizing
en-US	stencilled	stenciled
en-US	stencilling	stenciling
en-US	sterilisation	sterilization
en-US	sterilisations	sterilizations
en-US	sterilise	sterilize
en-US	sterilised	sterilized
en-US	steriliser	sterilizer
en-US	sterilisers	sterilizers
en-US	sterilises	sterilizes
en-US	sterilising	sterilizing
en-US	stigmatisation	stigmatization
en-US	stigmatise	stigmatize
en-US	stigmatised	stigmatized
en-US	stigmatises	stigmatizes
en-US	stigmatising	stigmatizing
en-US	storeys high	stories high
en-US	storeys tall	stories tall
en-US	storeys up	stories up
en-US	subsidisation	subsidization
en-US	subsidise	subsidize
en-US	subsidised	subsidized
en-US	subsidiser	subsidizer
en-US	subsidisers	subsidizers
en-US	subsidises	subsidizes
en-US	subsidising	subsidizing
en-US	succour	succor
en-US	succoured	succored
en-US	succouring	succoring
en-US	succours	succors
en-US	sulphate	sulfate
en-US	sulphates	sulfates
en-US	sulphide	sulfide
en-US	sulphides	sulfides
en-US	sulphur	sulfur
en-US	sulphurous	sulfurous
en-US	summarise	summarize
en-US	summarised	summarized
en-US	summarises	summarizes
en-US	summarising	summarizing
en-US	swivelled	swiveled
en-US	swivelling	swiveling
en-US	symbolise	symbolize
en-US	symbolised	symbolized
en-US	symbolises	symbolizes
en-US	symbolising	symbolizing
en-US	sympathise	sympathize
en-US	sympathised	sympathized
en-US	sympathiser	sympathizer
en-US	sympathisers	sympathizers
en-US	sympathises	sympathizes
en-US	sympathising	sympathizing
en-US	synchronisation	synchronization
en-US	synchronise	synchronize
en-US	synchronised	synchronized
en-US	synchronises	synchronizes
en-US	synchronising	synchronizing
en-US	synthesise	synthesize
en-US	synthesised	synthesized
en-US	synthesiser	synthesizer
en-US	synthesisers	synthesizers
en-US	synthesises	synthesizes
en-US	synthesising	synthesizing
en-US	systematisation	systematization
en-US	systematise	systematize
en-US	systematised	systematized
en-US	systematises	systematizes
en-US	systematising	systematizing
en-US	tantalise	tantalize
en-US	tantalised	tantalized
en-US	tantalises	tantalizes
en-US	tantalising	tantalizing
en-US	tantalisingly	tantalizingly
en-US	tasselled	tasseled
en-US	technicolour	technicolor
en-US	temporise	temporize
en-US	temporised	temporized
en-US	temporises	temporizes
en-US	temporising	temporizing
en-US	ten storey	ten story
en-US	tenderise	tenderize
en-US	tenderised	tenderized
en-US	tenderises	tenderizes
en-US	tenderising	tenderizing
en-US	terrorise	terrorize
en-US	terrorised	terrorized
en-US	terrorises	terrorizes
en-US	terrorising	terrorizing
en-US	theatre	theater
en-US	theatregoer	theatergoer
en-US	theatregoers	theatergoers
en-US	theatres	theaters
en-US	theorise	theorize
en-US	theorised	theorized
en-US	theorises	theorizes
en-US	theorising	theorizing
en-US	three storey	three story
en-US	tyre	tire
en-US	tyres	tires
en-US	tonne	ton
en-US	tonnes	tons
en-US	towelled	toweled
en-US	towelling	toweling
en-US	toxaemia	toxemia
en-US	tranquillity	tranquility
en-US	tranquilly	tranquility
en-US	tranquillise	tranquilize
en-US	tranquillize	tranquilize
en-US	tranquillised	tranquilized
en-US	tranquillized	tranquilized
en-US	tranquilliser	tranquilizer
en-US	tranquillizer	tranquilizer
en-US	tranquillisers	tranquilizers
en-US	tranquillizers	tranquilizers
en-US	tranquillises	tranquilizes
en-US	tranquillizes	tranquilizes
en-US	tranquillising	tranquilizing
en-US	tranquillizing	tranquilizing
en-US	transistorised	transistorized
en-US	traumatise	traumatize
en-US	traumatised	traumatized
en-US	traumatises	traumatizes
en-US	traumatising	traumatizing
en-US	travelled	traveled
en-US	traveller	traveler
en-US	travellers	travelers
en-US	travelling	traveling
en-US	travelogue	travelog
en-US	travelogues	travelogs
en-US	trialled	trialed
en-US	trialling	trialing
en-US	tricolour	tricolor
en-US	tricolours	tricolors
en-US	trivialise	trivialize
en-US	trivialised	trivialized
en-US	trivialises	trivializes
en-US	trivialising	trivializing
en-US	tumour	tumor
en-US	tumours	tumors
en-US	tunnelled	tunneled
en-US	tunnelling	tunneling
en-US	twenty storey	twenty story
en-US	two storey	two story
en-US	tyrannise	tyrannize
en-US	tyrannised	tyrannized
en-US	tyrannises	tyrannizes
en-US	tyrannising	tyrannizing
en-US	unauthorised	unauthorized
en-US	uncivilised	uncivilized
en-US	underutilised	underutilized
en-US	unequalled	unequaled
en-US	unfavourable	unfavorable
en-US	unfavourably	unfavorably
en-US	unionisation	unionization
en-US	unionise	unionize
en-US	unionised	unionized
en-US	unionises	unionizes
en-US	unionising	unionizing
en-US	unorganised	unorganized
en-US	unravelled	unraveled
en-US	unravelling	unraveling
en-US	unrecognisable	unrecognizable
en-US	unrecognised	unrecognized
en-US	unrivalled	unrivaled
en-US	unsavoury	unsavory
en-US	untrammelled	untrammeled
en-US	urbanisation	urbanization
en-US	urbanise	urbanize
en-US	urbanised	urbanized
en-US	urbanises	urbanizes
en-US	urbanising	urbanizing
en-US	utilisable	utilizable
en-US	utilisation	utilization
en-US	utilise	utilize
en-US	utilised	utilized
en-US	utilises	utilizes
en-US	utilising	utilizing
en-US	valour	valor
en-US	vandalise	vandalize
en-US	vandalised	vandalized
en-US	vandalises	vandalizes
en-US	vandalising	vandalizing
en-US	vapour	vapor
en-US	vaporisation	vaporization
en-US	vaporise	vaporize
en-US	vaporised	vaporized
en-US	vaporises	vaporizes
en-US	vaporising	vaporizing
en-US	vapours	vapors
en-US	verbalise	verbalize
en-US	verbalised	verbalized
en-US	verbalises	verbalizes
en-US	verbalising	verbalizing
en-US	victimisation	victimization
en-US	victimise	victimize
en-US	victimised	victimized
en-US	victimises	victimizes
en-US	victimising	victimizing
en-US	videodisc	videodisk
en-US	videodiscs	videodisks
en-US	vigour	vigor
en-US	visualisation	visualization
en-US	visualisations	visualizations
en-US	visualise	visualize
en-US	visualised	visualized
en-US	visualises	visualizes
en-US	visualising	visualizing
en-US	vocalisation	vocalization
en-US	vocalisations	vocalizations
en-US	vocalise	vocalize
en-US	vocalised	vocalized
en-US	vocalises	vocalizes
en-US	vocalising	vocalizing
en-US	vulcanised	vulcanized
en-US	vulgarisation	vulgarization
en-US	vulgarise	vulgarize
en-US	vulgarised	vulgarized
en-US	vulgarises	vulgarizes
en-US	vulgarising	vulgarizing
en-US	waggon	wagon
en-US	waggons	wagons
en-US	watercolour	watercolor
en-US	watercolours	watercolors
en-US	weaselled	weaseled
en-US	weaselling	weaseling
en-US	westernisation	westernization
en-US	westernise	westernize
en-US	westernised	westernized
en-US	westernises	westernizes
en-US	westernising	westernizing
en-US	womanise	womanize
en-US	womanised	womanized
en-US	womaniser	womanizer
en-US	womanisers	womanizers
en-US	womanises	womanizes
en-US	womanising	womanizing
en-US	woollen	woolen
en-US	woollens	woolens
en-US	woollies	woolies
en-US	woolly	wooly
en-US	worshipped	worshiped
en-US	worshipper	worshiper
en-US	worshipping	worshiping
en-US	yodelled	yodeled
en-US	yodelling	yodeling
en-US	yoghurt	yogurt
en-US	yoghurts	yogurts
# mapping rules, non-US
en-GB,en-AU,en-IE,en-NZ	accessorize	accessorise
en-GB,en-AU,en-IE,en-NZ	accessorized	accessorised
en-GB,en-AU,en-IE,en-NZ	accessorizes	accessorises
en-GB,en-AU,en-IE,en-NZ	accessorizing	accessorising
en-GB,en-AU,en-IE,en-NZ	acclimatization	acclimatisation
en-GB,en-AU,en-IE,en-NZ	acclimatize	acclimatise
en-GB,en-AU,en-IE,en-NZ	acclimatized	acclimatised
en-GB,en-AU,en-IE,en-NZ	acclimatizes	acclimatises
en-GB,en-AU,en-IE,en-NZ	acclimatizing	acclimatising
en-GB,en-AU,en-IE,en-NZ	accouterments	accoutrements
en-GB,en-AU,en-IE,en-NZ	aerogram	aerogramme
en-GB,en-AU,en-IE,en-NZ	aerograms	aerogrammes
en-GB,en-AU,en-IE,en-NZ	aggrandizement	aggrandisement
en-GB,en-AU,en-IE,en-NZ	aging	ageing
en-GB,en-AU,en-IE,en-NZ	agonize	agonise
en-GB,en-AU,en-IE,en-NZ	agonized	agonised
en-GB,en-AU,en-IE,en-NZ	agonizes	agonises
en-GB,en-AU,en-IE,en-NZ	agonizing	agonising
en-GB,en-AU,en-IE,en-NZ	agonizingly	agonisingly
en-GB,en-AU,en-IE,en-NZ	airplane	aeroplane
en-GB,en-AU,en-IE,en-NZ	airplanes	aeroplanes
en-GB,en-AU,en-IE,en-NZ	almanac	almanack
en-GB,en-AU,en-IE,en-NZ	almanacs	almanacks
en-GB,en-AU,en-IE,en-NZ	aluminum	aluminium
en-GB,en-AU,en-IE,en-NZ	amortizable	amortisable
en-GB,en-AU,en-IE,en-NZ	amortization	amortisation
en-GB,en-AU,en-IE,en-NZ	amortizations	amortisations
en-GB,en-AU,en-IE,en-NZ	amortize	amortise
en-GB,en-AU,en-IE,en-NZ	amortized	amortised
en-GB,en-AU,en-IE,en-NZ	amortizes	amortises
en-GB,en-AU,en-IE,en-NZ	amortizing	amortising
en-GB,en-AU,en-IE,en-NZ	amphitheater	amphitheatre
en-GB,en-AU,en-IE,en-NZ	amphitheaters	amphitheatres
en-GB,en-AU,en-IE,en-NZ	analog	analogue
en-GB,en-AU,en-IE,en-NZ	analogs	analogues
en-GB,en-AU,en-IE,en-NZ	analyze	analyse
en-GB,en-AU,en-IE,en-NZ	analyzed	analysed
en-GB,en-AU,en-IE,en-NZ	analyzes	analyses
en-GB,en-AU,en-IE,en-NZ	analyzing	analysing
en-GB,en-AU,en-IE,en-NZ	anemia	anaemia
en-GB,en-AU,en-IE,en-NZ	anemic	anaemic
en-GB,en-AU,en-IE,en-NZ	anesthesia	anaesthesia
en-GB,en-AU,en-IE,en-NZ	anesthetic	anaesthetic
en-GB,en-AU,en-IE,en-NZ	anesthetics	anaesthetics
en-GB,en-AU,en-IE,en-NZ	anesthetist	anaesthetist
en-GB,en-AU,en-IE,en-NZ	anesthetists	anaesthetists
en-GB,en-AU,en-IE,en-NZ	anesthetize	anaesthetise
en-GB,en-AU,en-IE,en-NZ	anesthetized	anaesthetised
en-GB,en-AU,en-IE,en-NZ	anesthetizes	anaesthetises
en-GB,en-AU,en-IE,en-NZ	anesthetizing	anaesthetising
en-GB,en-AU,en-IE,en-NZ	anglicize	anglicise
en-GB,en-AU,en-IE,en-NZ	anglicized	anglicised
en-GB,en-AU,en-IE,en-NZ	anglicizes	anglicises
en-GB,en-AU,en-IE,en-NZ	anglicizing	anglicising
en-GB,en-AU,en-IE,en-NZ	annualized	annualised
en-GB,en-AU,en-IE,en-NZ	antagonize	antagonise
en-GB,en-AU,en-IE,en-NZ	antagonized	antagonised
en-GB,en-AU,en-IE,en-NZ	antagonizes	antagonises
en-GB,en-AU,en-IE,en-NZ	antagonizing	antagonising
en-GB,en-AU,en-IE,en-NZ	apologize	apologise
en-GB,en-AU,en-IE,en-NZ	apologized	apologised
en-GB,en-AU,en-IE,en-NZ	apologizes	apologises
en-GB,en-AU,en-IE,en-NZ	apologizing	apologising
en-GB,en-AU,en-IE,en-NZ	appall	appal
en-GB,en-AU,en-IE,en-NZ	appalls	appals
en-GB,en-AU,en-IE,en-NZ	appetizer	appetiser
en-GB,en-AU,en-IE,en-NZ	appetizers	appetisers
en-GB,en-AU,en-IE,en-NZ	appetizing	appetising
en-GB,en-AU,en-IE,en-NZ	appetizingly	appetisingly
en-GB,en-AU,en-IE,en-NZ	arbor	arbour
en-GB,en-AU,en-IE,en-NZ	arbors	arbours
en-GB,en-AU,en-IE,en-NZ	archeological	archaeological
en-GB,en-AU,en-IE,en-NZ	archeologically	archaeologically
en-GB,en-AU,en-IE,en-NZ	archeologist	archaeologist
en-GB,en-AU,en-IE,en-NZ	archeologists	archaeologists
en-GB,en-AU,en-IE,en-NZ	archeology	archaeology
en-GB,en-AU,en-IE,en-NZ	ardor	ardour
en-GB,en-AU,en-IE,en-NZ	armor	armour
en-GB,en-AU,en-IE,en-NZ	armored	armoured
en-GB,en-AU,en-IE,en-NZ	armorer	armourer
en-GB,en-AU,en-IE,en-NZ	armorers	armourers
en-GB,en-AU,en-IE,en-NZ	armories	armouries
en-GB,en-AU,en-IE,en-NZ	armory	armoury
en-GB,en-AU,en-IE,en-NZ	artifact	artefact
en-GB,en-AU,en-IE,en-NZ	artifacts	artefacts
en-GB,en-AU,en-IE,en-NZ	authorize	authorise
en-GB,en-AU,en-IE,en-NZ	authorized	authorised
en-GB,en-AU,en-IE,en-NZ	authorizes	authorises
en-GB,en-AU,en-IE,en-NZ	authorizing	authorising
en-GB,en-AU,en-IE,en-NZ	ax	axe
en-GB,en-AU,en-IE,en-NZ	backpedaled	backpedalled
en-GB,en-AU,en-IE,en-NZ	backpedaling	backpedalling
en-GB,en-AU,en-IE,en-NZ	balk	baulk
en-GB,en-AU,en-IE,en-NZ	balked	baulked
en-GB,en-AU,en-IE,en-NZ	balking	baulking
en-GB,en-AU,en-IE,en-NZ	balks	baulks
en-GB,en-AU,en-IE,en-NZ	banister	bannister
en-GB,en-AU,en-IE,en-NZ	banisters	bannisters
en-GB,en-AU,en-IE,en-NZ	baptize	baptise
en-GB,en-AU,en-IE,en-NZ	baptized	baptised
en-GB,en-AU,en-IE,en-NZ	baptizes	baptises
en-GB,en-AU,en-IE,en-NZ	baptizing	baptising
en-GB,en-AU,en-IE,en-NZ	bastardize	bastardise
en-GB,en-AU,en-IE,en-NZ	bastardized	bastardised
en-GB,en-AU,en-IE,en-NZ	bastardizes	bastardises
en-GB,en-AU,en-IE,en-NZ	bastardizing	bastardising
en-GB,en-AU,en-IE,en-NZ	battleax	battleaxe
en-GB,en-AU,en-IE,en-NZ	bedeviled	bedevilled
en-GB,en-AU,en-IE,en-NZ	bedeviling	bedevilling
en-GB,en-AU,en-IE,en-NZ	behavior	behaviour
en-GB,en-AU,en-IE,en-NZ	behavioral	behavioural
en-GB,en-AU,en-IE,en-NZ	behaviorism	behaviourism
en-GB,en-AU,en-IE,en-NZ	behaviorist	behaviourist
en-GB,en-AU,en-IE,en-NZ	behaviorists	behaviourists
en-GB,en-AU,en-IE,en-NZ	behaviors	behaviours
en-GB,en-AU,en-IE,en-NZ	behoove	behove
en-GB,en-AU,en-IE,en-NZ	behooved	behoved
en-GB,en-AU,en-IE,en-NZ	behooves	behoves
en-GB,en-AU,en-IE,en-NZ	bejeweled	bejewelled
en-GB,en-AU,en-IE,en-NZ	belabor	belabour
